Year,Rank,Rider,Time,Team
1908,11,Paul Duboc (FRA),,Alcyon–Dunlop
1908,12,Clemente Canepari (ITA),,Alcyon–Dunlop
1908,13,François Beaugendre (FRA),,Peugeot–Wolber
1908,14,Paul Chauvet (FRA),,Peugeot–Wolber
1908,15,Eugène Forestier (FRA),,Peugeot–Wolber
1908,16,Achille Germain (FRA),,Alcyon–Dunlop
1908,17,André Pottier (FRA),,Peugeot–Wolber
1908,18,Ernest Paul (FRA),,Alcyon–Dunlop
1908,19,Aldo Bettini (ITA),,Peugeot–Wolber
1908,20,Giovanni Gerbi (ITA),,Peugeot–Wolber
1908,21,Aloïs Catteau (BEL),,Alcyon–Dunlop
1908,22,Marceau Narcy (FRA),,Alcyon–Dunlop
1908,23,Martin Soulié (FRA),,Alcyon–Dunlop
1908,24,Ferdinand Payan (FRA),,Champeyrache
1908,25,Noel Combelles (FRA),,Alcyon–Dunlop
1908,26,F. Gonzales (FRA),,Peugeot–Wolber
1908,27,Alexandre Bodinier (FRA),,Alcyon–Dunlop
1908,28,Edouard Wattelier (FRA),,Nil–Supra
1908,29,Georges Bronchard (FRA),,Peerless
1908,30,Robert Lecointe (FRA),,Alcyon–Dunlop
1908,31,Antoine Wattelier (FRA),,Nil–Supra
1908,32,Eloi Guichard (FRA),,Terrot
1908,33,Léon Rabot (FRA),,Alcyon–Dunlop
1908,34,Jean Darche (FRA),,Biguet
1908,35,Louis Di Maria (FRA),,
1908,36,Henri Anthoine (FRA),,Labor
1909,1,François Faber (LUX),,Alcyon
1909,2,Gustave Garrigou (FRA),,Alcyon
1909,3,Jean Alavoine (FRA),,Alcyon
1909,4,Paul Duboc (FRA),,Alcyon
1909,5,Cyrille van Hauwaert (BEL),,Alcyon
1909,6,Ernest Paul (FRA),,
1909,7,Constant Ménager (FRA),,Le Globe
1909,8,Louis Trousselier (FRA),,Alcyon
1909,9,Eugène Christophe (FRA),,
1909,10,Aldo Bettini (ITA),,
1909,11,Julien Maitron (FRA),,Le Globe
1909,12,Georges Fleury (FRA),,Le Globe
1909,13,Alfred Faure (FRA),,
1909,14,Mario Gajoni (ITA),,Legnano
1909,15,Attilio Zavatti (ITA),,Legnano
1909,16,Jules Deloffre (FRA),,Nil–Supra
1909,17,Joseph Habierre (FRA),,
1909,18,Ildebrando Gamberini (ITA),,Felsina
1909,19,Alfred Le Bars (FRA),,
1909,20,Emile Lachaise (FRA),,
1909,21,Lucien Leman (FRA),,
1909,22,Léon Rabot (FRA),,
1909,23,Georges Oudin (FRA),,
1909,24,Armédee Dutiron (FRA),,
1909,24,Robert Lecointe (FRA),,
1909,26,Pierre Langlade (FRA),,
1909,27,Angelo Magagnoli (ITA),,Felsina
1909,28,Antony Wattelier (FRA),,
1909,29,Alfred Vaidis (FRA),,
1909,30,Henri Alavoine (FRA),,
1909,31,Paul Boillat (SUI),,
1909,32,Amleto Belloni (ITA),,
1909,33,René Chaude (FRA),,
1909,34,Joseph Leblanc (FRA),,
1909,35,Auguste Denizot (FRA),,
1909,36,Auguste Dufour (FRA),,
1909,37,Antoine Faure (FRA),,
1909,38,Albert Lagagner (FRA),,
1909,39,Rodolphe Meili (FRA),,
1909,40,Louis Gardent (FRA),,
1909,41,Alcide Riviere (FRA),,
1909,42,François Roche (FRA),,
1909,43,Lucien Colin (FRA),,
1909,44,André Herbelin (FRA),,
1909,45,Giovanni Perucca (SUI),,
1909,46,Eugène Leroy (FRA),,
1909,47,Camille Mathieu (FRA),,
1909,48,Charles Ponson (FRA),,
1909,49,Paul Piétrois (FRA),,
1909,50,Louis Di Maria (FRA),,
1909,51,Henri Anthoine (FRA),,
1909,52,Henri Ory (FRA),,
1909,53,Ernest Goujon (FRA),,
1909,54,Alfred Guidez (FRA),,
1909,55,Georges Devilly (FRA),,
1910,1,Octave Lapize (FRA),,Alcyon
1910,2,François Faber (LUX),,Alcyon
1910,3,Gustave Garrigou (FRA),,Alcyon
1910,4,Cyrille van Hauwaert (BEL),,Alcyon
1910,5,Charles Cruchon (FRA),,
1910,6,Charles Crupelandt (FRA),,Le Globe
1910,7,Ernest Paul (FRA),,
1910,8,André Blaise (BEL),,Alcyon
1910,9,Julien Maitron (FRA),,Le Globe
1910,10,Aldo Bettini (ITA),,Alcyon
1910,11,Pierre Albini (ITA),,Legnano
1910,12,Georges Paulmier (FRA),,Le Globe
1910,13,Ernesto Azzini (ITA),,Legnano
1910,14,François Lafourcade (FRA),,Legnano
1910,15,Henri Cornet (FRA),,Le Globe
1910,16,Jules Deloffre (FRA),,Le Globe
1910,17,Constant Ménager (FRA),,Legnano
1910,18,Luigi Azzini (ITA),,Legnano
1910,19,Augustin Ringeval (FRA),,
1910,20,Frédéric Saillot (FRA),,Le Globe
1910,21,Maurice Pardon (FRA),,
1910,22,Joseph Leblanc (FRA),,
1910,23,Georges Fleury (FRA),,
1910,24,Joseph Habierre (FRA),,
1910,25,François Riou (FRA),,
1910,26,Auguste Guyon (SUI),,
1910,27,Jean Bouillet (FRA),,
1910,28,Lucien Pothier (FRA),,
1910,29,Maurice Decaup (FRA),,Legnano
1910,30,Lucien Leman (FRA),,
1910,31,Gabriel Mathonat (FRA),,
1910,32,Robert Chopard (SUI),,
1910,33,Pietro Ghislotti (ITA),,
1910,34,Lucien Rocquebert (FRA),,
1910,35,Georges Cauvry (FRA),,
1910,36,Camille Bière (FRA),,
1910,37,Auguste Dufour (FRA),,
1910,38,Louis Jouin (FRA),,
1910,39,René Chaudé (FRA),,
1910,40,Louis Picard (FRA),,
1910,41,Constant Collet (FRA),,
1911,1,Gustave Garrigou (FRA),,Alcyon
1911,2,Paul Duboc (FRA),,La Française
1911,3,Émile Georget (FRA),,La Française
1911,4,Charles Crupelandt (FRA),,La Française
1911,5,Louis Heusghem (BEL),,Alcyon
1911,6,Marcel Godivier (FRA),,La Française
1911,7,Charles Cruchon (FRA),,La Française
1911,8,Ernest Paul (FRA),,Alcyon
1911,9,Albert Dupont (BEL),,Le Globe
1911,10,Henri Devroye (BEL),,Le Globe
1911,11,Firmin Lambot (BEL),,Le Globe
1911,12,Henri Cornet (FRA),,Le Globe
1911,13,Paul Deman (BEL),,
1911,14,Julien Maitron (FRA),,La Française
1911,15,Jules Deloffre (FRA),,
1911,16,Georges Paulmier (FRA),,Automoto
1911,17,Ottavio Pratesi (ITA),,
1911,18,Vincent D'Hulst (FRA),,
1911,19,Alfred Faure (FRA),,Automoto
1911,20,Lucien Pothier (FRA),,Le Globe
1911,21,Édouard Léonard (FRA),,Automoto
1911,22,Constant Ménager (FRA),,Le Globe
1911,23,Maurice Pardon (FRA),,Le Globe
1911,24,Louis Coolsaet (BEL),,
1911,25,Marius Vilette (FRA),,
1911,26,Ernest Ricaux (FRA),,Automoto
1911,27,Pietro Ghislotti (ITA),,
1911,28,Lucien Roquebert (FRA),,
1912,1,Odile Defraye (BEL),,Alcyon
1912,2,Eugène Christophe (FRA),,Armor
1912,3,Gustave Garrigou (FRA),,Alcyon
1912,4,Marcel Buysse (BEL),,Peugeot
1912,5,Jean Alavoine (FRA),,Armor
1912,6,Philippe Thys (BEL),,Peugeot
1912,7,Hector Tiberghien (BEL),,Griffon
1912,8,Henri Devroye (BEL),,Le Globe
1912,9,Félicien Salmon (BEL),,Peugeot
1912,10,Alfons Spiessens (BEL),,J.B. Louvet
1912,11,Louis Heusghem (BEL),,Alcyon
1912,12,René Vandenberghe (BEL),,Thomann
1912,13,Vicenzo Borgarello (Italy),,J.B. Louvet
1912,14,François Faber (LUX),,Automoto
1912,15,Louis Engel (FRA),,Aiglon
1912,16,Charles Deruyter (BEL),,Peugeot
1912,17,Jacques Coomans (BEL),,Thomann
1912,18,Firmin Lambot (BEL),,Le Globe
1912,19,Ottavio Pratesi (Italy),,
1912,20,Charles Guyot (SUI),,Aiglon
1912,21,Jules Deloffre (FRA),,
1912,22,Gabriel Figuet (FRA),,Griffon
1912,23,Édouard Léonard (FRA),,J.B. Louvet
1912,24,Eugène Dhers (FRA),,Automoto
1912,25,Pierre-Joseph Heusghem (BEL),,Le Globe
1912,26,Pierre Everaerts (BEL),,
1912,27,Julien Maitron (FRA),,Automoto
1912,28,Henri Cornet (FRA),,Le Globe
1912,29,François Lafourcade (FRA),,
1912,30,Augustin Ringeval (FRA),,
1912,31,Maurice Leliaert (BEL),,
1912,32,Georges Oudin (FRA),,
1912,33,Fernand Courcelles (FRA),,
1912,34,Raymond Harquet (FRA),,
1912,35,Emile Druz (FRA),,
1912,36,Emile Eigeldinger (FRA),,
1912,37,Charles Dumont (SUI),,
1912,38,Henri Alavoine (FRA),,
1912,39,Emile Caudrelier (FRA),,
1912,40,Gaston Neboux (FRA),,
1912,41,Maurice Lartigue (FRA),,
1913,1,Philippe Thys (BEL),"197h 54' 00""",Peugeot
1913,2,Gustave Garrigou (FRA),"+8' 37""",Peugeot
1913,3,Marcel Buysse (BEL),"+ 3h 30' 55""",Peugeot
1913,4,Firmin Lambot (BEL),"+ 4h 12' 45""",Griffon
1913,5,François Faber (LUX),"+ 6h 26' 04""",Peugeot
1913,6,Alfons Spiessens (BEL),"+ 7h 57' 52""",J.B. Louvet
1913,7,Eugène Christophe (FRA),"+ 14h 06' 35""",Peugeot
1913,8,Camillo Bertarelli (ITA),"+ 16h 21' 38""",
1913,9,Joseph Vandaele (BEL),"+ 16h 39' 53""",J.B. Louvet
1913,10,Emile Engel (FRA),"+ 16h 52' 34""",Peugeot
1913,11,Louis Trousselier (FRA),"+ 18h 11' 13""",J.B. Louvet
1913,12,Jules Deloffre (FRA),"+ 18h 31' 31""",
1913,13,Clemente Canepari (ITA),"+ 19h 11' 13""",J.B. Louvet
1913,14,Paul Deman (BEL),"+ 19h 27' 02""",Automoto
1913,15,Vincent Dhulst (FRA),"+ 20h 10' 12""",
1913,16,Louis Petitjean (BEL),"+ 22h 00' 27""",
1913,17,Paul Hostein (FRA),"+ 25h 41' 06""",Peugeot
1913,18,Maurice Leliaert (BEL),"+ 26h 18' 25""",
1913,19,Jean Alavoine (FRA),"+ 27h 43' 47""",Peugeot
1913,20,Giuseppe Contesini (ITA),"+ 30h 37' 34""",
1913,21,Louis Coolsaet (BEL),"+ 31h 46' 50""",
1913,22,Achille De Smet (BEL),"+ 54h 44' 07""",
1913,23,Charles Dumont (SUI),"+ 64h 33' 55""",
1913,24,Celidonio Morini (ITA),"+ 76h 31' 47""",
1913,25,Henri Alavoine (FRA),"+ 76h 55' 52""",
1914,1,Philippe Thys (BEL),"200h 28' 48""",Peugeot–Wolber
1914,2,Henri Pélissier (FRA),"+ 1' 50""",Peugeot–Wolber
1914,3,Jean Alavoine (FRA),"+ 36' 53""",Peugeot–Wolber
1914,4,Jean Rossius (BEL),"+ 1h 57' 05""",Alcyon–Soly
1914,5,Gustave Garrigou (FRA),"+ 3h 00' 21""",Peugeot–Wolber
1914,6,Emile Georget (FRA),"+ 3h 20' 59""",Peugeot–Wolber
1914,7,Alfons Spiessens (BEL),"+ 3h 53' 55""",J.B. Louvet–Continental
1914,8,Firmin Lambot (BEL),"+ 5h 08' 54""",Peugeot–Wolber
1914,9,François Faber (LUX),"+ 6h 15' 53""",Peugeot–Wolber
1914,10,Louis Heusghem (BEL),"+ 7h 49' 02""",Peugeot–Wolber
1914,11,Eugène Christophe (FRA),"+ 8h 31' 58""",Peugeot–Wolber
1914,12,Ernest Paul (FRA),"+ 9h 42' 51""",Delage–Continental
1914,13,Oscar Egg (SUI),"+ 10h 00' 40""",Peugeot–Wolber
1914,14,Léon Scieur (BEL),"+ 10h 02' 30""",Thoman–Joly
1914,15,Camille Botte (BEL),"+ 10h 14' 33""",
1914,16,Angelo Erba (ITA),"+ 11h 21' 22""",Alleluia–Continental
1914,17,Donald Kirkham (AUS),"+ 11h 53' 39""",Phebus–Dunlop
1914,18,Hector Tiberghien (BEL),"+ 12h 23' 21""",Delage–Continental
1914,19,Jacques Coomans (BEL),"+ 12h 24' 15""",Thoman–Joly
1914,20,Iddo Munro (AUS),"+ 12h 34' 57""",Phebus–Dunlop
1914,21,Charles Charron (FRA),"+ 12h 59' 23""",Delage–Continental
1914,22,Henri Devroye (BEL),"+ 13h 22' 14""",Armor–Soly
1914,23,Maurice Brocco (FRA),"+ 14h 32' 36""",Gladiator–Dunlop
1914,24,Julien Tuytten (BEL),"+ 14h 36' 14""",
1914,25,Vincenzo Borgarello (ITA),"+ 15h 18' 21""",Clement–Dunlop
1914,26,Louis Petitjean (BEL),"+ 15h 38' 44""",Delage–Continental
1914,27,Jules Nempon (FRA),"+ 16h 32' 55""",J.B. Louvet–Continental
1914,28,René Vandenberghe (BEL),"+ 17h 05' 07""",J.B. Louvet–Continental
1914,29,Marcel Baumler (FRA),"+ 17h 07' 55""",Peugeot–Wolber
1914,30,Marcel Godivier (FRA),"+ 18h 18' 57""",Gladiator–Dunlop
1914,31,Paul Duboc (FRA),"+ 18h 35' 32""",Automoto
1914,32,Pierre Everaerts (BEL),"+ 19h 21' 04""",
1914,33,Ottavio Pratesi (ITA),"+ 20h 31' 40""",
1914,34,Constant Ménager (FRA),"+ 20h 58' 45""",Gladiator–Dunlop
1914,35,Charles Cruchon (FRA),"+ 21h 04' 56""",Gladiator–Dunlop
1914,36,Jules Deloffre (FRA),"+ 22h 03' 15""",
1914,37,Camillo Bertarelli (ITA),"+ 23h 08' 26""",Alleluia–Continental
1914,38,Louis Trousselier (FRA),"+ 23h 44' 30""",Automoto
1914,39,Adrien Alpini (ITA),"+ 26h 11' 22""",
1914,40,Gaston Degy (FRA),"+ 29h 05' 54""",Automoto
1914,41,Raymond Harquet (FRA),"+ 30h 04' 05""",Alleluia–Continental
1914,42,Louis Engel (FRA),"+ 30h 54' 28""",Delage–Continental
1914,43,Emile Guyon (SUI),"+ 30h 55' 10""",
1914,44,Mario Spinelli (ITA),"+ 35h 13' 35""",
1914,45,Charles Kippert (FRA),"+ 35h 56' 03""",Gladiator–Dunlop
1914,46,Charles Dumont (SUI),"+ 37h 42' 31""",
1914,47,René Cottrel (FRA),"+ 37h 42' 31""",
1914,48,Sante Goi (ITA),"+ 52h 15' 32""",
1914,49,Emilio Cuchetti (ITA),"+ 59h 20' 16""",
1914,50,Gaston Neboux (FRA),"+ 59h 59' 01""",
1914,51,Henri Allard (BEL),"+ 67h 46' 24""",
1914,52,Henri Alavoine (FRA),"+ 72h 55' 21""",
1914,53,Marcel Rottie (FRA),"+ 84h 03' 10""",
1914,54,Henri Leclerc (FRA),"+ 99h 04' 45""",
1919,1,Firmin Lambot (BEL),"231h 07' 15""",
1919,2,Jean Alavoine (FRA),"+ 1h 42' 54""",
1919,3,Eugène Christophe (FRA),"+ 2h 26' 31""",
1919,4,Léon Scieur (BEL),"+ 2h 52' 15""",
1919,5,Honoré Barthélemy (FRA),"+ 4h 14' 22""",
1919,6,Jacques Coomans (BEL),"+ 15h 21' 34""",
1919,7,Luigi Lucotti (ITA),"+ 16h 01' 12""",
1919,8,Joseph Van Daele (BEL),"+ 18h 23' 02""",
1919,9,Alfred Steux (BEL),"+ 20h 29' 01""",
1919,10,Jules Nempon (FRA),"+ 21h 44' 12""",
1920,1,Philippe Thys (BEL),"231h 07' 15""",
1920,2,Hector Heusghem (BEL),"+ 57' 21""",
1920,3,Firmin Lambot (BEL),"+ 1h 39' 35""",
1920,4,Leon Scieur (BEL),"+ 1h 44' 58""",
1920,5,Émile Masson (BEL),"+ 2h 56' 52""",
1920,6,Louis Heusghem (BEL),"+ 3h 40' 47""",
1920,7,Jean Rossius (BEL),"+ 3h 49' 55""",
1920,8,Honore Barthelemy (FRA),"+ 5h 35' 19""",
1920,9,Félix Goethals (FRA),"+ 9h 23' 07""",
1920,10,Joseph Vandaele (BEL),"+ 10h 45' 41""",
1920,11,Eugène Dhers (FRA),"+ 11h 15' 09""",
1920,12,Joseph Pelletier (FRA),"+ 20h 04' 32""",
1920,13,Théo Wynsdau (BEL),"+ 25h 14' 02""",
1920,14,Noel Amenc (FRA),"+ 33h 25' 47""",
1920,15,Joseph Muller (FRA),"+ 33h 48' 53""",
1920,16,Henri Ferrera (FRA),"+ 34h 32' 27""",
1920,17,Guglielmo Ceccherelli (ITA),"+ 48h 40' 35""",
1920,18,Marius Matheron (FRA),"+ 51h 11' 04""",
1920,19,Etienne Dorfeuille (FRA),"+ 53h 10' 00""",
1920,20,Pierre Hudsyn (BEL),"+ 55h 36' 42""",
1920,21,André Coutte (FRA),"+ 55h 57' 46""",
1920,22,Charles Raboisson (FRA),"+ 69h 00' 05""",
1921,1,Leon Scieur (BEL),"221h 50' 26""",
1921,2,Hector Heusghem (BEL),"+ 18' 36""",
1921,3,Honore Barthelemy (FRA),"+ 2h 01' 00""",
1921,4,Luigi Lucotti (ITA),"+ 2h 39' 18""",
1921,5,Hector Tiberghien (BEL),"+ 4h 33' 19""",
1921,6,Victor Lenaers (BEL),"+ 4h 53' 23""",
1921,7,Leon Despontin (BEL),"+ 5h 01' 54""",
1921,8,Camile Leroy (BEL),"+ 7h 56' 27""",
1921,9,Firmin Lambot (BEL),"+ 8h 26' 25""",
1921,10,Félix Goethals (FRA),"+ 8h 42' 26""",
1921,11,Louis Mottiat (BEL),"+ 8h 51' 24""",
1921,12,Eugène Dhers (FRA),"+ 9h 44' 36""",
1921,13,Henri Ferrara (FRA),"+ 11h 58' 24""",
1921,14,Noel Amenc (FRA),"+ 12h 37' 23""",
1921,15,Joseph Muller (FRA),"+ 12h 59' 08""",
1921,16,Félix Sellier (BEL),"+ 13h 56' 45""",
1921,17,Henri Colle (SUI),"+ 15h 02' 22""",
1921,18,Enrico Sala (ITA),"+ 19h 09' 18""",
1921,19,Guglielmo Ceccherelli (ITA),"+ 22h 49' 12""",
1921,20,Auguste Meyer (FRA),"+ 22h 53' 43""",
1921,21,Benjamin Javaux (BEL),"+ 25h 25' 34""",
1921,22,Pierre Hudsyn (BEL),"+ 25h 53' 44""",
1921,23,Joseph Normand (FRA),"+ 27h 05' 40""",
1921,24,Etienne Dorfeuille (FRA),"+ 27h 07' 44""",
1921,25,Charles Raboisson (FRA),"+ 27h 57' 32""",
1921,26,Jules Deloffre (FRA),"+ 31h 09' 48""",
1921,27,Ernest Paul (FRA),"+ 32h 26' 34""",
1921,28,Edgard Roy (FRA),"+ 32h 43' 15""",
1921,29,Charles Parel (SUI),"+ 34h 29' 08""",
1921,30,Paul Coppens (FRA),"+ 34h 50' 25""",
1921,31,Jean Kienlen (FRA),"+ 36h 18' 06""",
1921,32,Lucien Pothier (FRA),"+ 41h 45' 11""",
1921,33,Lucien Rocquebert (FRA),"+ 49h 37' 25""",
1921,34,Robert Constantin (FRA),"+ 57h 07' 39""",
1921,35,Charles Cento (FRA),"+ 57h 45' 21""",
1921,36,Georges Kamm (FRA),"+ 58h 00' 09""",
1921,37,Adrien Alpini (FRA),"+ 60h 34' 50""",
1921,38,Henri Catelan (FRA),"+ 62h 19' 57""",
1922,1,Firmin Lambot (BEL),"222h 08' 06""",
1922,2,Jean Alavoine (FRA),"+ 41' 15""",
1922,3,Félix Sellier (BEL),"+ 42' 02""",
1922,4,Hector Heusghem (BEL),"+ 43' 56""",
1922,5,Victor Lenaers (BEL),"+ 45' 32""",
1922,6,Hector Tiberghien (BEL),"+ 1h 21' 35""",
1922,7,Léon Despontin (BEL),"+ 2h 24' 29""",
1922,8,Eugène Christophe (FRA),"+ 3h 25' 39""",
1922,9,Jean Rossius (BEL),"+ 3h 26' 06""",
1922,10,Gaston Degy (FRA),"+ 3h 49' 13""",
1922,11,Federico Gay (ITA),"+ 3h 51' 59""",
1922,12,Emile Masson (BEL),"+ 4h 00' 21""",
1922,13,Arsène Alancourt (FRA),"+ 5h 20' 56""",
1922,14,Philippe Thys (BEL),"+ 5h 48' 58""",
1922,15,Joseph Pelletier (FRA),"+ 5h 53' 29""",
1922,16,Joseph Muller (FRA),"+ 7h 51' 23""",
1922,17,Giuseppe Santhia (ITA),"+ 8h 57' 35""",
1922,18,Théophile Beeckman (BEL),"+ 9h 40' 32""",
1922,19,Louis Heusghem (BEL),"+ 9h 50' 34""",
1922,20,Jules Nempon (FRA),"+ 12h 11' 56""",
1922,21,Alfons Standaert (BEL),"+ 12h 48' 46""",
1922,22,Edgard Roy (FRA),"+ 14h 29' 01""",
1922,23,Joseph Marchand (BEL),"+ 14h 58' 14""",
1922,24,Enrico Sala (ITA),"+ 16h 27' 21""",
1922,25,Jules Matton (BEL),"+ 17h 37' 39""",
1922,26,Pierre Hudsyn (BEL),"+ 20h 30' 17""",
1922,27,Charles Parel (SUI),"+ 22h 18' 09""",
1922,28,Léon Van Aken (BEL),"+ 24h 00' 24""",
1922,29,Marie Aubry (FRA),"+ 27h 20' 36""",
1922,30,Ernest Paul (FRA),"+ 28h 35' 08""",
1922,31,Georges Kamm (FRA),"+ 32h 22' 57""",
1922,32,Charles Loew (FRA),"+ 36h 20' 19""",
1922,33,Jules Brun (FRA),"+ 46h 36' 59""",
1922,34,Emmanuele Luigi (ITA),"+ 47h 23' 13""",
1922,35,Laurent Devalle (MON),"+ 54h 24' 20""",
1922,36,Robert Constantin (FRA),"+ 54h 53' 29""",
1922,37,Charles Hennuyer (FRA),"+ 59h 13' 12""",
