Year,Date,Stage,Course,Distance,Type,Winner
1910,1910-07-15,7,Nice to Nîmes,345 km (214 mi),Plain stage,François Faber (LUX)
1910,1910-07-17,8,Nîmes to Perpignan,216 km (134 mi),Plain stage,Georges Paulmier (FRA)
1910,1910-07-19,9,Perpignan to Luchon,289 km (180 mi),Stage with mountain(s),Octave Lapize (FRA)
1910,1910-07-21,10,Luchon to Bayonne,326 km (203 mi),Stage with mountain(s),Octave Lapize (FRA)
1910,1910-07-23,11,Bayonne to Bordeaux,269 km (167 mi),Plain stage,Ernest Paul (FRA)
1910,1910-07-25,12,Bordeaux to Nantes,391 km (243 mi),Plain stage,Louis Trousselier (FRA)
1910,1910-07-27,13,Nantes to Brest,321 km (199 mi),Plain stage,Gustave Garrigou (FRA)
1910,1910-07-29,14,Brest to Caen,424 km (263 mi),Plain stage,Octave Lapize (FRA)
1910,1910-07-31,15,Caen to Paris,262 km (163 mi),Plain stage,Ernesto Azzini (ITA)
1911,1911-07-02,1,Paris to Dunkerque,351 km (218 mi),Plain stage,Gustave Garrigou (FRA)
1911,1911-07-04,2,Dunkerque to Longwy,388 km (241 mi),Plain stage,Jules Masselis (BEL)
1911,1911-07-06,3,Longwy to Belfort,331 km (206 mi),Stage with mountain(s),François Faber (LUX)
1911,1911-07-08,4,Belfort to Chamonix,344 km (214 mi),Stage with mountain(s),Charles Crupelandt (FRA)
1911,1911-07-10,5,Chamonix to Grenoble,366 km (227 mi),Stage with mountain(s),Émile Georget (FRA)
1911,1911-07-12,6,Grenoble to Nice,348 km (216 mi),Stage with mountain(s),François Faber (LUX)
1911,1911-07-14,7,Nice to Marseille,334 km (208 mi),Stage with mountain(s),Charles Crupelandt (FRA)
1911,1911-07-16,8,Marseille to Perpignan,335 km (208 mi),Plain stage,Paul Duboc (FRA)
1911,1911-07-18,9,Perpignan to Luchon,289 km (180 mi),Stage with mountain(s),Paul Duboc (FRA)
1911,1911-07-20,10,Luchon to Bayonne,326 km (203 mi),Stage with mountain(s),Maurice Brocco (FRA)
1911,1911-07-22,11,Bayonne to La Rochelle,379 km (235 mi),Plain stage,Paul Duboc (FRA)
1911,1911-07-23,12,La Rochelle to Brest,470 km (290 mi),Plain stage,Marcel Godivier (FRA)
1911,1911-07-26,13,Brest to Cherbourg-en-Cotentin,405 km (252 mi),Plain stage,Gustave Garrigou (FRA)
1911,1911-07-28,14,Cherbourg to Le Havre,361 km (224 mi),Plain stage,Paul Duboc (FRA)
1911,1911-07-30,15,Le Havre to Paris,317 km (197 mi),Plain stage,Marcel Godivier (FRA)
1912,1912-06-30,1,Paris to Dunkerque,351 km (218 mi),Plain stage,Charles Crupelandt (FRA)
1912,1912-07-02,2,Dunkerque to Longwy,388 km (241 mi),Plain stage,Odile Defraye (BEL)
1912,1912-07-04,3,Longwy to Belfort,331 km (206 mi),Stage with mountain(s),Eugène Christophe (FRA)
1912,1912-07-06,4,Belfort to Chamonix,344 km (214 mi),Stage with mountain(s),Eugène Christophe (FRA)
1912,1912-07-08,5,Chamonix to Grenoble,366 km (227 mi),Stage with mountain(s),Eugène Christophe (FRA)
1912,1912-07-10,6,Grenoble to Nice,323 km (201 mi),Stage with mountain(s),Octave Lapize (FRA)
1912,1912-07-12,7,Nice to Marseille,334 km (208 mi),Stage with mountain(s),Odile Defraye (BEL)
1912,1912-07-14,8,Marseille to Perpignan,335 km (208 mi),Plain stage,Vicenzo Borgarello (ITA)
1912,1912-07-16,9,Perpignan to Luchon,289 km (180 mi),Stage with mountain(s),Odile Defraye (BEL)
1912,1912-07-18,10,Luchon to Bayonne,326 km (203 mi),Stage with mountain(s),Louis Mottiat (BEL)
1912,1912-07-20,11,Bayonne to La Rochelle,379 km (235 mi),Plain stage,Jean Alavoine (FRA)
1912,1912-07-21,12,La Rochelle to Brest,470 km (290 mi),Plain stage,Louis Heusghem (BEL)
1912,1912-07-24,13,Brest to Cherbourg-en-Cotentin,405 km (252 mi),Plain stage,Jean Alavoine (FRA)
1912,1912-07-26,14,Cherbourg to Le Havre,361 km (224 mi),Plain stage,Vicenzo Borgarello (ITA)
1912,1912-07-28,15,Le Havre to Paris,317 km (197 mi),Plain stage,Jean Alavoine (FRA)
1913,1913-06-29,1,Paris to Le Havre,388 km (241 mi),Plain stage,Giovanni Micheletto (ITA)
1913,1913-07-01,2,Le Havre to Cherbourg-en-Cotentin,364 km (226 mi),Plain stage,Jules Masselis (BEL)
1913,1913-07-03,3,Cherbourg to Brest,405 km (252 mi),Plain stage,Henri Pelissier (FRA)
1913,1913-07-05,4,Brest to La Rochelle,470 km (290 mi),Plain stage,Marcel Buysse (BEL)
1913,1913-07-07,5,La Rochelle to Bayonne,379 km (235 mi),Plain stage,Henri Van Lerberghe (BEL)
1913,1913-07-09,6,Bayonne to Luchon,326 km (203 mi),Stage with mountain(s),Philippe Thys (BEL)
1913,1913-07-11,7,Luchon to Perpignan,324 km (201 mi),Stage with mountain(s),Marcel Buysse (BEL)
1913,1913-07-13,8,Perpignan to Aix-en-Provence,325 km (202 mi),Plain stage,Gustave Garrigou (FRA)
1913,1913-07-15,9,Aix-en-Provence to Nice,356 km (221 mi),Stage with mountain(s),Firmin Lambot (BEL)
1913,1913-07-17,10,Nice to Grenoble,333 km (207 mi),Stage with mountain(s),Francois Faber (LUX)
1913,1913-07-19,11,Grenoble to Geneva,325 km (202 mi),Stage with mountain(s),Marcel Buysse (BEL)
1913,1913-07-21,12,Geneva to Belfort,335 km (208 mi),Stage with mountain(s),Marcel Buysse (BEL)
1913,1913-07-23,13,Belfort to Longwy,325 km (202 mi),Stage with mountain(s),François Faber (LUX)
1913,1913-07-25,14,Longwy to Dunkerque,393 km (244 mi),Plain stage,Marcel Buysse (BEL)
1913,1913-07-27,15,Dunkerque to Paris,340 km (210 mi),Plain stage,Marcel Buysse (BEL)
1914,1914-06-28,1,Paris to Le Havre,388 km (241 mi),Plain stage,Philippe Thys (BEL)
1914,1914-06-30,2,Le Havre to Cherbourg-en-Cotentin,364 km (226 mi),Plain stage,Jean Rossius (BEL)
1914,1914-07-02,3,Cherbourg to Brest,405 km (252 mi),Plain stage,Emile Engel (FRA)
1914,1914-07-04,4,Brest to La Rochelle,470 km (290 mi),Plain stage,Oscar Egg (SUI)
1914,1914-07-06,5,La Rochelle to Bayonne,376 km (234 mi),Plain stage,Oscar Egg (SUI)
1914,1914-07-08,6,Bayonne to Luchon,326 km (203 mi),Stage with mountain(s),Firmin Lambot (BEL)
1914,1914-07-10,7,Luchon to Perpignan,323 km (201 mi),Stage with mountain(s),Jean Alavoine (FRA)
1914,1914-07-12,8,Perpignan to Marseille,370 km (230 mi),Plain stage,Octave Lapize (FRA)
1914,1914-07-14,9,Marseille to Nice,338 km (210 mi),Stage with mountain(s),Jean Rossius (BEL)
1914,1914-07-16,10,Nice to Grenoble,323 km (201 mi),Stage with mountain(s),Henri Pélissier (FRA)
1914,1914-07-18,11,Grenoble to Geneva,325 km (202 mi),Stage with mountain(s),Gustave Garrigou (FRA)
1914,1914-07-20,12,Geneva to Belfort,325 km (202 mi),Stage with mountain(s),Henri Pélissier (FRA)
1914,1914-07-22,13,Belfort to Longwy,325 km (202 mi),Stage with mountain(s),François Faber (LUX)
1914,1914-07-24,14,Longwy to Dunkerque,390 km (240 mi),Plain stage,François Faber (LUX)
1914,1914-07-26,15,Dunkerque to Paris,340 km (210 mi),Plain stage,Henri Pélissier (FRA)
1919,1919-06-29,1,Paris to Le Havre,388 km (241 mi),Plain stage,Jean Rossius (BEL)
1919,1919-07-01,2,Le Havre to Cherbourg-en-Cotentin,364 km (226 mi),Plain stage,Henri Pélissier (FRA)
1919,1919-07-03,3,Cherbourg to Brest,405 km (252 mi),Plain stage,Francis Pélissier (FRA)
1919,1919-07-05,4,Brest to Les Sables-d'Olonne,412 km (256 mi),Plain stage,Jean Alavoine (FRA)
1919,1919-07-07,5,Les Sables-d'Olonne to Bayonne,482 km (300 mi),Plain stage,Jean Alavoine (FRA)
1919,1919-07-09,6,Bayonne to Luchon,326 km (203 mi),Stage with mountain,Honore Barthelemy (FRA)
1919,1919-07-11,7,Luchon to Perpignan,323 km (201 mi),Stage with mountain,Jean Alavoine (FRA)
1919,1919-07-13,8,Perpignan to Marseille,370 km (230 mi),Plain stage,Jean Alavoine (FRA)
1919,1919-07-15,9,Marseille to Nice,338 km (210 mi),Stage with mountain,Honoré Barthélemy (FRA)
1919,1919-07-17,10,Nice to Grenoble,333 km (207 mi),Stage with mountain,Honoré Barthélemy (FRA)
1919,1919-07-19,11,Grenoble to Geneva,325 km (202 mi),Stage with mountain,Honoré Barthélemy (FRA)
1919,1919-07-21,12,Geneva to Strasbourg,371 km (231 mi),Stage with mountain,Luigi Lucotti (ITA)
1919,1919-07-23,13,Strasbourg to Metz,315 km (196 mi),Plain stage,Luigi Lucotti (ITA)
1919,1919-07-25,14,Metz to Dunkerque,468 km (291 mi),Plain stage,Firmin Lambot (BEL)
1919,1919-07-27,15,Dunkerque to Paris,340 km (210 mi),Plain stage,Jean Alavoine (FRA)
1920,1920-06-27,1,Paris to Le Havre,388 km (241 mi),Plain stage,Louis Mottiat (BEL)
1920,1920-06-29,2,Le Havre to Cherbourg-en-Cotentin,364 km (226 mi),Plain stage,Philippe Thys (BEL)
1920,1920-07-01,3,Cherbourg to Brest,405 km (252 mi),Plain stage,Henri Pélissier (FRA)
1920,1920-07-03,4,Brest to Les Sables d'Olonne,412 km (256 mi),Plain stage,Henri Pélissier (FRA)
1920,1920-07-05,5,Les Sables d'Olonne to Bayonne,482 km (300 mi),Plain stage,Firmin Lambot (BEL)
1920,1920-07-07,6,Bayonne to Luchon,326 km (203 mi),Stage with mountain,Firmin Lambot (BEL)
1920,1920-07-09,7,Luchon to Perpignan,323 km (201 mi),Stage with mountain,Jean Rossius (BEL)
1920,1920-07-11,8,Perpignan to Aix-en-Provence,325 km (202 mi),Plain stage,Louis Heusghem (BEL)
1920,1920-07-14,9,Aix-en-Provence to Nice,356 km (221 mi),Stage with mountain,Philippe Thys (BEL)
1920,1920-07-16,10,Nice to Grenoble,333 km (207 mi),Stage with mountain,Hector Heusghem (BEL)
1920,1920-07-18,11,Grenoble to Gex,362 km (225 mi),Stage with mountain,Léon Scieur (BEL)
1920,1920-07-20,12,Gex to Strasbourg,354 km (220 mi),Plain stage,Philippe Thys (BEL)
1920,1920-07-22,13,Strasbourg to Metz,300 km (190 mi),Plain stage,Philippe Thys (BEL)
1920,1920-07-24,14,Metz to Dunkerque,433 km (269 mi),Plain stage,Félix Goethals (FRA)
1920,1920-07-27,15,Dunkerque to Paris,340 km (210 mi),Plain stage,Jean Rossius (BEL)
1921,1921-06-26,1,Paris to Le Havre,388 km (241 mi),Plain stage,Louis Mottiat (BEL)
1921,1921-06-28,2,Le Havre to Cherbourg-en-Cotentin,364 km (226 mi),Plain stage,Romain Bellenger (FRA)
1921,1921-06-30,3,Cherbourg to Brest,405 km (252 mi),Plain stage,Leon Scieur (BEL)
1921,1921-07-02,4,Brest to Les Sables-d'Olonne,412 km (256 mi),Plain stage,Louis Mottiat (BEL)
1921,1921-07-04,5,Les Sables-d'Olonne to Bayonne,482 km (300 mi),Plain stage,Louis Mottiat (BEL)
1921,1921-07-06,6,Bayonne to Luchon,326 km (203 mi),Stage with mountain(s),Hector Heusghem (BEL)
1921,1921-07-08,7,Luchon to Perpignan,323 km (201 mi),Stage with mountain(s),Louis Mottiat (BEL)
1921,1921-07-10,8,Perpignan to Toulon,411 km (255 mi),Plain stage,Luigi Lucotti (ITA)
1921,1921-07-12,9,Toulon to Nice,272 km (169 mi),Stage with mountain(s),Firmin Lambot (BEL)
1921,1921-07-14,10,Nice to Grenoble,333 km (207 mi),Stage with mountain(s),Leon Scieur (BEL)
1921,1921-07-16,11,Grenoble to Geneva,325 km (202 mi),Stage with mountain(s),Félix Goethals (FRA)
1921,1921-07-18,12,Geneva to Strasbourg,371 km (231 mi),Plain stage,Honoré Barthélemy (FRA)
1921,1921-07-20,13,Strasbourg to Metz,300 km (190 mi),Plain stage,Félix Sellier (BEL)
1921,1921-07-22,14,Metz to Dunkerque,433 km (269 mi),Plain stage,Félix Goethals (FRA)
1921,1921-07-24,15,Dunkerque to Paris,340 km (210 mi),Plain stage,Félix Goethals (FRA)
1922,1922-06-25,1,Paris to Le Havre,388 km (241 mi),Plain stage,Robert Jacquinot (FRA)
1922,1922-06-27,2,Le Havre to Cherbourg-en-Cotentin,364 km (226 mi),Plain stage,Romain Bellenger (FRA)
1922,1922-06-29,3,Cherbourg to Brest,405 km (252 mi),Plain stage,Robert Jacquinot (FRA)
1922,1922-07-01,4,Brest to Les Sables d'Olonne,412 km (256 mi),Plain stage,Philippe Thys (BEL)
1922,1922-07-03,5,Les Sables d'Olonne to Bayonne,482 km (300 mi),Plain stage,Jean Alavoine (FRA)
1922,1922-07-05,6,Bayonne to Luchon,326 km (203 mi),Stage with mountain(s),Jean Alavoine (FRA)
1922,1922-07-07,7,Luchon to Perpignan,323 km (201 mi),Stage with mountain(s),Jean Alavoine (FRA)
1922,1922-07-09,8,Perpignan to Toulon,411 km (255 mi),Plain stage,Philippe Thys (BEL)
1922,1922-07-11,9,Toulon to Nice,284 km (176 mi),Stage with mountain(s),Philippe Thys (BEL)
1922,1922-07-13,10,Nice to Briançon,274 km (170 mi),Stage with mountain(s),Philippe Thys (BEL)
1922,1922-07-15,11,Briançon to Geneva,260 km (160 mi),Stage with mountain(s),Emile Masson (BEL)}
1922,1922-07-17,12,Geneva to Strasbourg,371 km (231 mi),Plain stage,Emile Masson (BEL)
1922,1922-07-19,13,Strasbourg to Metz,300 km (190 mi),Plain stage,Federico Gay (ITA)
1922,1922-07-21,14,Metz to Dunkerque,433 km (269 mi),Plain stage,Félix Sellier (BEL)
1922,1922-07-23,15,Dunkerque to Paris,340 km (210 mi),Plain stage,Philippe Thys (BEL)
1923,1923-06-24,1,Paris to Le Havre,381 km (237 mi),Plain stage,Robert Jacquinot (FRA)
1923,1923-06-26,2,Le Havre to Cherbourg-en-Cotentin,371 km (231 mi),Plain stage,Ottavio Bottecchia (ITA)
1923,1923-06-28,3,Cherbourg to Brest,405 km (252 mi),Plain stage,Henri Pélissier (FRA)
1923,1923-06-30,4,Brest to Les Sables d'Olonne,412 km (256 mi),Plain stage,Albert Dejonghe (BEL)
1923,1923-07-02,5,Les Sables d'Olonne to Bayonne,482 km (300 mi),Plain stage,Robert Jacquinot (FRA)
1923,1923-07-04,6,Bayonne to Luchon,326 km (203 mi),Stage with mountain(s),Jean Alavoine (FRA)
1923,1923-07-06,7,Luchon to Perpignan,323 km (201 mi),Stage with mountain(s),Jean Alavoine (FRA)
1923,1923-07-08,8,Perpignan to Toulon,427 km (265 mi),Plain stage,Lucien Buysse (BEL)
1923,1923-07-10,9,Toulon to Nice,281 km (175 mi),Stage with mountain(s),Jean Alavoine (FRA)
1923,1923-07-12,10,Nice to Briançon,275 km (171 mi),Stage with mountain(s),Henri Pélissier (FRA)
1923,1923-07-14,11,Briançon to Geneva,260 km (160 mi),Stage with mountain(s),Henri Pélissier (FRA)
1923,1923-07-16,12,Geneva to Strasbourg,377 km (234 mi),Plain stage,Joseph Muller (FRA)
1923,1923-07-18,13,Strasbourg to Metz,300 km (190 mi),Plain stage,Romain Bellenger (FRA)
1923,1923-07-20,14,Metz to Dunkerque,433 km (269 mi),Plain stage,Félix Goethals (FRA)
1923,1923-07-22,15,Dunkerque to Paris,343 km (213 mi),Plain stage,Félix Goethals (FRA)
1924,1924-06-22,1,Paris to Le Havre,381 km (237 mi),Plain stage,Ottavio Bottecchia (ITA)
1924,1924-06-24,2,Le Havre to Cherbourg-en-Cotentin,371 km (231 mi),Plain stage,Romain Bellenger (FRA)
1924,1924-06-26,3,Cherbourg to Brest,405 km (252 mi),Plain stage,Philippe Thys (BEL) Théophile Beeckman (BEL)
1924,1924-06-28,4,Brest to Les Sables-d'Olonne,412 km (256 mi),Plain stage,Félix Goethals (FRA)
1924,1924-06-30,5,Les Sables-d'Olonne to Bayonne,482 km (300 mi),Plain stage,Omer Huyse (BEL)
1924,1924-07-02,6,Bayonne to Luchon,326 km (203 mi),Stage with mountain(s),Ottavio Bottecchia (ITA)
1924,1924-07-04,7,Luchon to Perpignan,323 km (201 mi),Stage with mountain(s),Ottavio Bottecchia (ITA)
1924,1924-07-06,8,Perpignan to Toulon,427 km (265 mi),Plain stage,Louis Mottiat (BEL)
1924,1924-07-08,9,Toulon to Nice,280 km (170 mi),Stage with mountain(s),Philippe Thys (BEL)
1924,1924-07-10,10,Nice to Briançon,275 km (171 mi),Stage with mountain(s),Giovanni Brunero (ITA)
1924,1924-07-12,11,Briançon to Gex,307 km (191 mi),Stage with mountain(s),Nicolas Frantz (LUX)
1924,1924-07-14,12,Gex to Strasbourg,360 km (220 mi),Stage with mountain(s),Nicolas Frantz (LUX)
1924,1924-07-16,13,Strasbourg to Metz,300 km (190 mi),Plain stage,Arsène Alancourt (FRA)
1924,1924-07-18,14,Metz to Dunkerque,433 km (269 mi),Plain stage,Romain Bellenger (FRA)
1924,1924-07-20,15,Dunkerque to Paris,343 km (213 mi),Plain stage,Ottavio Bottecchia (ITA)
1925,1925-06-21,1,Paris to Le Havre,340 km (210 mi),Plain stage,Ottavio Bottecchia (ITA)
1925,1925-06-23,2,Le Havre to Cherbourg,371 km (231 mi),Plain stage,Romain Bellenger (FRA)
1925,1925-06-25,3,Cherbourg to Brest,405 km (252 mi),Plain stage,Louis Mottiat (BEL)
1925,1925-06-26,4,Brest to Vannes,208 km (129 mi),Plain stage,Nicolas Frantz (LUX)
1925,1925-06-27,5,Vannes to Les Sables-d'Olonne,204 km (127 mi),Plain stage,Nicolas Frantz (LUX)
1925,1925-06-28,6,Les Sables-d'Olonne to Bordeaux,293 km (182 mi),Plain stage,Ottavio Bottecchia (ITA)
1925,1925-06-29,7,Bordeaux to Bayonne,189 km (117 mi),Plain stage,Ottavio Bottecchia (ITA)
1925,1925-07-01,8,Bayonne to Luchon,326 km (203 mi),Stage with mountain(s),Adelin Benoît (BEL)
1925,1925-07-03,9,Luchon to Perpignan,323 km (201 mi),Stage with mountain(s),Nicolas Frantz (LUX)
1925,1925-07-04,10,Perpignan to Nîmes,215 km (134 mi),Plain stage,Theophile Beeckman (BEL)
1925,1925-07-05,11,Nîmes to Toulon,215 km (134 mi),Plain stage,Lucien Buysse (BEL)
1925,1925-07-07,12,Toulon to Nice,280 km (170 mi),Stage with mountain(s),Lucien Buysse (BEL)
1925,1925-07-09,13,Nice to Briançon,275 km (171 mi),Stage with mountain(s),Bartolomeo Aimo (ITA)
1925,1925-07-11,14,Briançon to Evian,303 km (188 mi),Stage with mountain(s),Hector Martin (BEL)
1925,1925-07-13,15,Evian to Mulhouse,373 km (232 mi),Stage with mountain(s),Nicolas Frantz (LUX)
